Group,Participant,filler,non-word,critical,Accuracy
/d/-exposure,2,0.816666667,0.488888889,0.8,0.65
/d/-exposure,3,0.85,0.566666667,0.8,0.7
/d/-exposure,4,0.85,0.711111111,0.833333333,0.777777778
/d/-exposure,6,0.65,0.622222222,0.666666667,0.638888889
/d/-exposure,8,0.883333333,0.366666667,0.866666667,0.622222222
/d/-exposure,9,0.9,0.7,0.766666667,0.777777778
/d/-exposure,11,0.75,0.922222222,0.8,0.844444444
/d/-exposure,12,0.9,0.855555556,0.7,0.844444444
/d/-exposure,13,0.6,0.622222222,0.633333333,0.616666667
/d/-exposure,14,0.866666667,0.766666667,0.833333333,0.811111111
/d/-exposure,16,0.833333333,0.833333333,0.866666667,0.838888889
/d/-exposure,18,0.733333333,0.922222222,0.733333333,0.827777778
/d/-exposure,19,0.85,0.8,0.766666667,0.811111111
/d/-exposure,20,0.933333333,0.833333333,0.966666667,0.888888889
/d/-exposure,21,0.8,0.844444444,0.7,0.805555556
/d/-exposure,22,0.9,0.733333333,0.833333333,0.805555556
/d/-exposure,23,0.766666667,0.855555556,0.766666667,0.811111111
/d/-exposure,24,0.883333333,0.7,0.833333333,0.783333333
/d/-exposure,25,0.85,0.844444444,0.766666667,0.833333333
/d/-exposure,26,0.866666667,0.855555556,0.833333333,0.855555556
/d/-exposure,27,0.933333333,0.466666667,0.8,0.677777778
/d/-exposure,28,0.883333333,0.833333333,0.766666667,0.838888889
/d/-exposure,29,0.716666667,0.8,0.566666667,0.733333333
/d/-exposure,30,0.866666667,0.766666667,0.9,0.822222222
control,1,0.866666667,0.466666667,0.8,0.655555556
control,2,0.716666667,0.866666667,0.733333333,0.794444444
control,3,0.75,0.566666667,0.833333333,0.672222222
control,6,0.883333333,0.566666667,0.866666667,0.722222222
control,7,0.783333333,0.911111111,0.8,0.85
control,8,0.816666667,0.844444444,0.866666667,0.838888889
control,9,0.733333333,0.544444444,0.666666667,0.627777778
control,10,0.916666667,0.788888889,0.8,0.833333333
control,11,0.716666667,0.9,0.7,0.805555556
control,12,0.75,0.8,0.733333333,0.772222222
control,13,0.883333333,0.666666667,0.733333333,0.75
control,14,0.666666667,0.633333333,0.666666667,0.65
control,15,0.85,0.733333333,0.733333333,0.772222222
control,17,0.766666667,0.744444444,0.733333333,0.75
control,18,0.766666667,0.711111111,0.8,0.744444444
control,19,0.766666667,0.9,0.7,0.822222222
control,20,0.833333333,0.733333333,0.633333333,0.75
control,21,0.833333333,0.522222222,0.9,0.688888889
control,22,0.8,0.766666667,0.766666667,0.777777778
control,23,0.833333333,0.388888889,0.8,0.605555556
control,24,0.716666667,0.833333333,0.766666667,0.783333333
control,40,0.816666667,0.677777778,0.7,0.727777778
control,50,0.783333333,0.544444444,0.666666667,0.644444444
control,60,0.866666667,0.711111111,0.8,0.777777778
