Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,syllable,Item.Word,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,has_long_vowel,Syllable_duration,Word_duration
E1,/d/,bad,1,0.058,0.038,0.259,yes,1,bad,no,no,no,no,no,no,no,0.374,0.374
E1,/d/,bad,2,0.161,0.039,0.266,yes,1,bad,no,no,no,no,no,no,no,0.478,0.478
E1,/d/,bad,3,0.124,0.039,0.241,yes,1,bad,no,no,no,no,no,no,no,0.434,0.434
E1,/d/,bed,1,0.071,0.017,0.18,yes,1,bed,no,no,no,no,no,no,no,0.295,0.295
E1,/d/,bed,2,0.186,0.009,0.171,yes,1,bed,no,no,no,no,no,no,no,0.391,0.391
E1,/d/,bed,3,0.164,0.024,0.181,yes,1,bed,no,no,no,no,no,no,no,0.388,0.388
E1,/d/,bud,1,0.042,0.03,0.153,yes,1,bud,no,no,no,no,no,no,no,0.282,0.282
E1,/d/,bud,2,0.115,0.02,0.204,yes,1,bud,no,no,no,no,no,no,no,0.405,0.405
E1,/d/,bud,3,0.137,0.028,0.15,yes,1,bud,no,no,no,no,no,no,no,0.332,0.332
E1,/t/,but,1,0.13,0.082,0.116,yes,1,but,no,no,no,no,no,no,no,0.353,0.353
E1,/t/,but,2,0.107,0.084,0.134,yes,1,but,no,no,no,no,no,no,no,0.351,0.351
E1,/t/,but,3,0.126,0.091,0.134,yes,1,but,no,no,no,no,no,no,no,0.374,0.374
E1,/d/,cooed,1,0.082,0.028,0.175,yes,1,cooed,no,no,no,no,no,no,no,0.38,0.38
E1,/d/,cooed,2,0.152,0.026,0.2,yes,1,cooed,no,no,no,no,no,no,no,0.437,0.437
E1,/d/,cooed,3,0.073,0.033,0.182,yes,1,cooed,no,no,no,no,no,no,no,0.373,0.373
E1,/t/,cut,1,0.127,0.11,0.111,yes,1,cut,no,no,no,no,no,no,no,0.39,0.39
E1,/t/,cut,2,0.176,0.082,0.118,yes,1,cut,no,no,no,no,no,no,no,0.44,0.44
E1,/t/,cut,3,0.118,0.085,0.116,yes,1,cut,no,no,no,no,no,no,no,0.38,0.38
E1,/d/,feed,1,0.104,0.03,0.184,yes,1,feed,no,no,no,no,no,no,no,0.371,0.371
