Speaker,Sound,Word,set,phon_ctxt_stress,syllable,Item.Word,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,has_long_vowel,syllable_duration,word_duration,num_of_segments,combo,Type,burst,closure,vowel
E1,/d/,bad,1,yes,1,bad,no,no,no,no,no,no,no,0.374,0.374,3,E1_bad_1,old,0.058,0.038,0.259
E1,/d/,bad,2,yes,1,bad,no,no,no,no,no,no,no,0.478,0.478,3,E1_bad_2,old,0.161,0.039,0.266
E1,/d/,bad,3,yes,1,bad,no,no,no,no,no,no,no,0.434,0.434,3,E1_bad_3,old,0.124,0.039,0.241
E10,/d/,bad,1,yes,1,bad,no,no,no,no,no,no,no,0.476,0.476,3,E10_bad_1,old,0.092,0.038,0.322
E10,/d/,bad,2,yes,1,bad,no,no,no,no,no,no,no,0.491,0.491,3,E10_bad_2,old,0.069,0.052,0.355
E10,/d/,bad,3,yes,1,bad,no,no,no,no,no,no,no,0.458,0.458,3,E10_bad_3,old,0.099,0.038,0.306
E11,/d/,bad,1,yes,1,bad,no,no,no,no,no,no,no,0.538,0.538,3,E11_bad_1,old,0.115,0.089,0.311
E11,/d/,bad,2,yes,1,bad,no,no,no,no,no,no,no,0.586,0.586,3,E11_bad_2,old,0.14,0.089,0.344
E11,/d/,bad,3,yes,1,bad,no,no,no,no,no,no,no,0.613,0.613,3,E11_bad_3,old,0.185,0.081,0.335
E12,/d/,bad,1,yes,1,bad,no,no,no,no,no,no,no,0.411,0.411,3,E12_bad_1,old,0.103,0.031,0.254
E12,/d/,bad,2,yes,1,bad,no,no,no,no,no,no,no,0.417,0.417,3,E12_bad_2,old,0.111,0.039,0.258
E12,/d/,bad,3,yes,1,bad,no,no,no,no,no,no,no,0.339,0.339,3,E12_bad_3,old,0.051,0.04,0.234
E13,/d/,bad,1,yes,1,bad,no,no,no,no,no,no,no,0.577,0.577,3,E13_bad_1,old,0.058,0.085,0.403
E13,/d/,bad,2,yes,1,bad,no,no,no,no,no,no,no,0.573,0.573,3,E13_bad_2,old,0.1,0.072,0.386
E13,/d/,bad,3,yes,1,bad,no,no,no,no,no,no,no,0.45,0.45,3,E13_bad_3,old,0.033,0.241,0.163
E14,/d/,bad,1,yes,1,bad,no,no,no,no,no,no,no,0.52,0.52,3,E14_bad_1,old,0.093,0.089,0.314
E14,/d/,bad,2,yes,1,bad,no,no,no,no,no,no,no,0.508,0.508,3,E14_bad_2,old,0.065,0.114,0.314
E14,/d/,bad,3,yes,1,bad,no,no,no,no,no,no,no,0.517,0.517,3,E14_bad_3,old,0.091,0.091,0.319
E15,/d/,bad,1,yes,1,bad,no,no,no,no,no,no,no,0.431,0.431,3,E15_bad_1,old,0.084,0.048,0.276
E15,/d/,bad,2,yes,1,bad,no,no,no,no,no,no,no,0.501,0.501,3,E15_bad_2,old,0.111,0.046,0.301
E15,/d/,bad,3,yes,1,bad,no,no,no,no,no,no,no,0.489,0.489,3,E15_bad_3,old,0.115,0.068,0.262
E3,/d/,bad,1,yes,1,bad,no,no,no,no,no,no,no,0.482,0.482,3,E3_bad_1,old,0.11,0.043,0.299
E3,/d/,bad,2,yes,1,bad,no,no,no,no,no,no,no,0.476,0.476,3,E3_bad_2,old,0.123,0.035,0.288
E3,/d/,bad,3,yes,1,bad,no,no,no,no,no,no,no,0.508,0.508,3,E3_bad_3,old,0.136,0.035,0.312
E9,/d/,bad,1,yes,1,bad,no,no,no,no,no,no,no,0.424,0.424,3,E9_bad_1,old,0.089,0.059,0.256
E9,/d/,bad,2,yes,1,bad,no,no,no,no,no,no,no,0.409,0.409,3,E9_bad_2,old,0.061,0.059,0.271
E9,/d/,bad,3,yes,1,bad,no,no,no,no,no,no,no,0.423,0.423,3,E9_bad_3,old,0.097,0.046,0.261
E1,/d/,bed,1,yes,1,bed,no,no,no,no,no,no,no,0.295,0.295,3,E1_bed_1,old,0.071,0.017,0.18
E1,/d/,bed,2,yes,1,bed,no,no,no,no,no,no,no,0.391,0.391,3,E1_bed_2,old,0.186,0.009,0.171
E1,/d/,bed,3,yes,1,bed,no,no,no,no,no,no,no,0.388,0.388,3,E1_bed_3,old,0.164,0.024,0.181
E10,/d/,bed,1,yes,1,bed,no,no,no,no,no,no,no,0.349,0.349,3,E10_bed_1,old,0.094,0.051,0.188
E10,/d/,bed,2,yes,1,bed,no,no,no,no,no,no,no,0.37,0.37,3,E10_bed_2,old,0.116,0.059,0.177
E10,/d/,bed,3,yes,1,bed,no,no,no,no,no,no,no,0.373,0.373,3,E10_bed_3,old,0.115,0.058,0.174
E11,/d/,bed,1,yes,1,bed,no,no,no,no,no,no,no,0.498,0.498,3,E11_bed_1,old,0.177,0.096,0.205
E11,/d/,bed,2,yes,1,bed,no,no,no,no,no,no,no,0.472,0.472,3,E11_bed_2,old,0.143,0.102,0.213
E11,/d/,bed,3,yes,1,bed,no,no,no,no,no,no,no,0.437,0.437,3,E11_bed_3,old,0.113,0.108,0.205
E12,/d/,bed,1,yes,1,bed,no,no,no,no,no,no,no,0.318,0.318,3,E12_bed_1,old,0.082,0.045,0.169
E12,/d/,bed,2,yes,1,bed,no,no,no,no,no,no,no,0.311,0.311,3,E12_bed_2,old,0.065,0.044,0.192
E12,/d/,bed,3,yes,1,bed,no,no,no,no,no,no,no,0.294,0.294,3,E12_bed_3,old,0.055,0.058,0.171
E13,/d/,bed,1,yes,1,bed,no,no,no,no,no,no,no,0.598,0.598,3,E13_bed_1,old,0.129,0.065,0.226
E13,/d/,bed,2,yes,1,bed,no,no,no,no,no,no,no,0.415,0.415,3,E13_bed_2,old,0.095,0.073,0.227
E13,/d/,bed,3,yes,1,bed,no,no,no,no,no,no,no,0.402,0.402,3,E13_bed_3,old,0.077,0.052,0.267
E14,/d/,bed,1,yes,1,bed,no,no,no,no,no,no,no,0.658,0.658,3,E14_bed_1,old,0.169,0.125,0.202
E14,/d/,bed,2,yes,1,bed,no,no,no,no,no,no,no,0.515,0.515,3,E14_bed_2,old,0.128,0.135,0.209
E14,/d/,bed,3,yes,1,bed,no,no,no,no,no,no,no,0.403,0.403,3,E14_bed_3,old,0.051,0.099,0.231
E15,/d/,bed,1,yes,1,bed,no,no,no,no,no,no,no,0.386,0.386,3,E15_bed_1,old,0.117,0.059,0.194
E15,/d/,bed,2,yes,1,bed,no,no,no,no,no,no,no,0.432,0.432,3,E15_bed_2,old,0.094,0.086,0.214
E15,/d/,bed,3,yes,1,bed,no,no,no,no,no,no,no,0.422,0.422,3,E15_bed_3,old,0.13,0.064,0.208
E3,/d/,bed,1,yes,1,bed,no,no,no,no,no,no,no,0.382,0.382,3,E3_bed_1,old,0.138,0.04,0.177
E3,/d/,bed,2,yes,1,bed,no,no,no,no,no,no,no,0.452,0.452,3,E3_bed_2,old,0.194,0.042,0.198
E3,/d/,bed,3,yes,1,bed,no,no,no,no,no,no,no,0.431,0.431,3,E3_bed_3,old,0.153,0.039,0.218
E7,/d/,bed,1,yes,1,bed,no,no,no,no,no,no,no,0.344,0.344,3,E7_bed_1,old,0.043,0.075,0.2
E7,/d/,bed,2,yes,1,bed,no,no,no,no,no,no,no,0.514,0.514,3,E7_bed_2,old,0.052,0.08,0.201
E7,/d/,bed,3,yes,1,bed,no,no,no,no,no,no,no,0.547,0.547,3,E7_bed_3,old,0.112,0.109,0.21
E9,/d/,bed,1,yes,1,bed,no,no,no,no,no,no,no,0.373,0.373,3,E9_bed_1,old,0.122,0.063,0.17
E9,/d/,bed,2,yes,1,bed,no,no,no,no,no,no,no,0.404,0.404,3,E9_bed_2,old,0.119,0.061,0.206
E9,/d/,bed,3,yes,1,bed,no,no,no,no,no,no,no,0.323,0.323,3,E9_bed_3,old,0.084,0.057,0.17
E1,/d/,bud,1,yes,1,bud,no,no,no,no,no,no,no,0.282,0.282,3,E1_bud_1,old,0.042,0.03,0.153
E1,/d/,bud,2,yes,1,bud,no,no,no,no,no,no,no,0.405,0.405,3,E1_bud_2,old,0.115,0.02,0.204
E1,/d/,bud,3,yes,1,bud,no,no,no,no,no,no,no,0.332,0.332,3,E1_bud_3,old,0.137,0.028,0.15
E10,/d/,bud,1,yes,1,bud,no,no,no,no,no,no,no,0.453,0.453,3,E10_bud_1,old,0.098,0.043,0.194
E10,/d/,bud,2,yes,1,bud,no,no,no,no,no,no,no,0.407,0.407,3,E10_bud_2,old,0.107,0.036,0.208
E10,/d/,bud,3,yes,1,bud,no,no,no,no,no,no,no,0.356,0.356,3,E10_bud_3,old,0.083,0.033,0.2
E11,/d/,bud,1,yes,1,bud,no,no,no,no,no,no,no,0.533,0.533,3,E11_bud_1,old,0.184,0.109,0.201
E11,/d/,bud,2,yes,1,bud,no,no,no,no,no,no,no,0.516,0.516,3,E11_bud_2,old,0.105,0.144,0.239
E11,/d/,bud,3,yes,1,bud,no,no,no,no,no,no,no,0.508,0.508,3,E11_bud_3,old,0.106,0.111,0.251
E12,/d/,bud,1,yes,1,bud,no,no,no,no,no,no,no,0.383,0.383,3,E12_bud_1,old,0.095,0.055,0.2
E12,/d/,bud,2,yes,1,bud,no,no,no,no,no,no,no,0.355,0.355,3,E12_bud_2,old,0.083,0.066,0.185
E12,/d/,bud,3,yes,1,bud,no,no,no,no,no,no,no,0.404,0.404,3,E12_bud_3,old,0.143,0.055,0.191
E13,/d/,bud,1,yes,1,bud,no,no,no,no,no,no,no,0.458,0.458,3,E13_bud_1,old,0.106,0.083,0.255
E13,/d/,bud,2,yes,1,bud,no,no,no,no,no,no,no,0.474,0.474,3,E13_bud_2,old,0.103,0.094,0.251
E13,/d/,bud,3,yes,1,bud,no,no,no,no,no,no,no,0.498,0.498,3,E13_bud_3,old,0.12,0.088,0.262
E14,/d/,bud,1,yes,1,bud,no,no,no,no,no,no,no,0.457,0.457,3,E14_bud_1,old,0.144,0.125,0.158
E14,/d/,bud,2,yes,1,bud,no,no,no,no,no,no,no,0.442,0.442,3,E14_bud_2,old,0.136,0.106,0.177
E14,/d/,bud,3,yes,1,bud,no,no,no,no,no,no,no,0.374,0.374,3,E14_bud_3,old,0.089,0.109,0.162
E15,/d/,bud,1,yes,1,bud,no,no,no,no,no,no,no,0.398,0.398,3,E15_bud_1,old,0.097,0.085,0.192
E15,/d/,bud,2,yes,1,bud,no,no,no,no,no,no,no,0.453,0.453,3,E15_bud_2,old,0.104,0.125,0.206
E15,/d/,bud,3,yes,1,bud,no,no,no,no,no,no,no,0.431,0.431,3,E15_bud_3,old,0.037,0.168,0.195
E3,/d/,bud,1,yes,1,bud,no,no,no,no,no,no,no,0.519,0.519,3,E3_bud_1,old,0.261,0.023,0.217
E3,/d/,bud,2,yes,1,bud,no,no,no,no,no,no,no,0.399,0.399,3,E3_bud_2,old,0.169,0.023,0.188
E3,/d/,bud,3,yes,1,bud,no,no,no,no,no,no,no,0.408,0.408,3,E3_bud_3,old,0.145,0.038,0.206
E9,/d/,bud,1,yes,1,bud,no,no,no,no,no,no,no,0.386,0.386,3,E9_bud_1,old,0.084,0.065,0.181
E9,/d/,bud,2,yes,1,bud,no,no,no,no,no,no,no,0.37,0.37,3,E9_bud_2,old,0.06,0.07,0.182
E9,/d/,bud,3,yes,1,bud,no,no,no,no,no,no,no,0.34,0.34,3,E9_bud_3,old,0.059,0.085,0.157
E1,/t/,but,1,yes,1,but,no,no,no,no,no,no,no,0.353,0.353,3,E1_but_1,old,0.13,0.082,0.116
E1,/t/,but,2,yes,1,but,no,no,no,no,no,no,no,0.351,0.351,3,E1_but_2,old,0.107,0.084,0.134
E1,/t/,but,3,yes,1,but,no,no,no,no,no,no,no,0.374,0.374,3,E1_but_3,old,0.126,0.091,0.134
E11,/t/,but,1,yes,1,but,no,no,no,no,no,no,no,0.591,0.591,3,E11_but_1,old,0.247,0.172,0.137
E11,/t/,but,2,yes,1,but,no,no,no,no,no,no,no,0.554,0.554,3,E11_but_2,old,0.206,0.173,0.163
E11,/t/,but,3,yes,1,but,no,no,no,no,no,no,no,0.523,0.523,3,E11_but_3,old,0.19,0.125,0.173
E12,/t/,but,1,yes,1,but,no,no,no,no,no,no,no,0.235,0.235,3,E12_but_1,old,0.032,0.03,0.157
E12,/t/,but,2,yes,1,but,no,no,no,no,no,no,no,0.233,0.233,3,E12_but_2,old,0.036,0.028,0.129
E13,/t/,but,1,yes,1,but,no,no,no,no,no,no,no,0.458,0.458,3,E13_but_1,old,0.125,0.142,0.165
E13,/t/,but,2,yes,1,but,no,no,no,no,no,no,no,0.402,0.402,3,E13_but_2,old,0.103,0.121,0.165
E13,/t/,but,3,yes,1,but,no,no,no,no,no,no,no,0.442,0.442,3,E13_but_3,old,0.073,0.159,0.18
E14,/t/,but,1,yes,1,but,no,no,no,no,no,no,no,0.557,0.557,3,E14_but_1,old,0.14,0.176,0.104
E14,/t/,but,2,yes,1,but,no,no,no,no,no,no,no,0.467,0.467,3,E14_but_2,old,0.129,0.204,0.097
E14,/t/,but,3,yes,1,but,no,no,no,no,no,no,no,0.466,0.466,3,E14_but_3,old,0.14,0.201,0.085
E15,/t/,but,1,yes,1,but,no,no,no,no,no,no,no,0.403,0.403,3,E15_but_1,old,0.121,0.103,0.143
E15,/t/,but,2,yes,1,but,no,no,no,no,no,no,no,0.429,0.429,3,E15_but_2,old,0.162,0.104,0.146
E15,/t/,but,3,yes,1,but,no,no,no,no,no,no,no,0.416,0.416,3,E15_but_3,old,0.157,0.099,0.148
E9,/t/,but,1,yes,1,but,no,no,no,no,no,no,no,0.445,0.445,3,E9_but_1,old,0.119,0.131,0.145
E9,/t/,but,2,yes,1,but,no,no,no,no,no,no,no,0.473,0.473,3,E9_but_2,old,0.149,0.112,0.167
E9,/t/,but,3,yes,1,but,no,no,no,no,no,no,no,0.509,0.509,3,E9_but_3,old,0.202,0.115,0.151
E1,/d/,cooed,1,yes,1,cooed,no,no,no,no,no,no,no,0.38,0.38,3,E1_cooed_1,old,0.082,0.028,0.175
