Speaker,sound,word,set,rhyme,word_duration,cues,burst,closure,vowel
E1,d,bad,1,355,374,raw,58,38,259
E1,d,bad,2,466,477.9999997,raw,161,39,266
E1,d,bad,3,404,434,raw,124,39,241
E1,d,bed,1,268,294.9999998,raw,71,17,180
E1,d,bed,2,366,391,raw,186,9,171
E1,d,bed,3,369,388.0000003,raw,164,24,181
E1,d,bud,1,225,266.6482037,raw,42,30,153
E1,d,bud,2,339,405,raw,115,20,204
E1,d,bud,3,315,332.0000003,raw,137,28,150
E1,t,but,1,328,352.9999997,raw,130,82,116
E1,t,but,2,325,351,raw,107,84,134
E1,t,but,3,351,373.9999999,raw,126,91,134
E1,d,cooed,1,285,379.9999995,raw,82,28,175
E1,d,cooed,2,378,436.9999997,raw,152,26,200
E1,d,cooed,3,288,372.9999997,raw,73,33,182
E1,t,cut,1,348,389.9999997,raw,127,110,111
E1,t,cut,2,376,440.0000003,raw,176,82,118
E1,t,cut,3,319,379.9999996,raw,118,85,116
E1,d,feed,1,318,371.0000001,raw,104,30,184
E1,d,feed,2,305,540.9999998,raw,102,19,184
E1,d,feed,3,325,473.0000001,raw,114,17,194
E1,t,feet,1,340,480.9999999,raw,125,81,134
E1,t,feet,2,315,461.9999992,raw,101,71,143
E1,t,feet,3,307,421.9999998,raw,108,73,126
E1,d,find,1,346,478.0000003,raw,54,26,266
E1,d,find,2,466,627.9999996,raw,152,49,265
E1,d,find,3,326,446.9999992,raw,68,14,244
E1,d,fond,1,333,459,raw,73,21,239
E1,d,fond,2,452,606.0000004,raw,128,30,294
E1,d,fond,3,388,536.9999996,raw,111,22,255
E1,d,gild,1,429,457.9999999,raw,152,70,207
E1,d,gild,2,388,415,raw,119,62,207
E1,d,gild,3,393,427.0000001,raw,133,67,193
E1,d,god,1,332,369.9999997,raw,107,5,220
E1,d,god,2,343,384.0000003,raw,126,20,197
E1,d,god,3,333,366.0000002,raw,123,17,193
E1,d,good,1,290,332,raw,104,38,148
E1,d,good,2,323,359.0000002,raw,131,38,154
E1,d,good,3,322,353,raw,146,22,154
E1,t,got,1,316,348.0000004,raw,84,88,144
E1,t,got,2,343,371.9999999,raw,94,96,153
E1,t,got,3,406,444.9999998,raw,143,114,149
E1,d,killed,1,297,357.9999998,raw,69,52,176
E1,d,killed,2,399,458.9999999,raw,167,56,176
E1,d,killed,3,378,430.9999997,raw,137,35,206
E1,d,lad,1,284,327,raw,78,24,182
E1,d,lad,2,309,411.9999995,raw,169,14,126
E1,d,lad,3,310,353.9999999,raw,79,94,137
E1,t,late,1,305,448.0000003,raw,146,78,81
E1,t,neat,1,362,441.9999999,raw,163,68,131
E1,t,neat,2,394,465.9999996,raw,154,88,152
E1,d,need,1,275,373.9999998,raw,53,43,179
E1,d,need,2,340,447.0000001,raw,97,50,193
E1,d,need,3,314,455.0000001,raw,97,27,190
E1,t,night,1,358,444.0000002,raw,170,76,112
E1,t,night,2,384,472,raw,161,78,145
E1,t,night,3,382,430.9999999,raw,130,104,148
E1,t,not,1,336,458.0000001,raw,98,146,92
E1,t,not,2,362,472.9999997,raw,108,150,104
E1,t,not,3,434,530.9999996,raw,126,152,156
E1,t,pat,1,230,292,raw,23,78,129
E1,t,pat,2,390,445.0000002,raw,136,121,133
E1,t,pat,3,343,414.0000002,raw,113,105,125
E1,t,pet,1,292,365.0000005,raw,115,53,124
E1,t,pet,2,363,412.9999999,raw,116,124,123
E1,t,pet,3,336,391.0000002,raw,101,104,131
E1,d,pond,1,279,322.9999999,raw,42,20,217
E1,d,pond,2,350,414,raw,93,16,241
E1,d,pond,3,369,412.9999999,raw,116,17,236
E1,t,pot,1,351,429.0000001,raw,106,115,130
E1,t,pot,2,376,454.9999997,raw,131,99,146
E1,t,pot,3,377,465.0000001,raw,128,105,144
E1,d,pound,1,356,482.0000004,raw,73,43,240
E1,d,pound,2,377,506.0000004,raw,91,38,248
E1,d,pound,3,301,412.0000002,raw,87,18,196
E1,t,pout,1,345,455.0000001,raw,135,77,133
E1,t,pout,2,324,450.9999998,raw,138,75,111
E1,t,pout,3,335,429.9999997,raw,123,81,131
E1,t,put,1,310,355.0000003,raw,104,111,95
E1,t,put,2,302,385.0000002,raw,101,119,82
E1,t,put,3,318,387.9999999,raw,121,98,99
E1,d,ride,1,232,327.0000001,raw,43,25,164
E1,d,ride,2,236,391.0000004,raw,98,36,102
E1,d,ride,3,232,358.9999996,raw,86,43,103
E1,d,rode,1,279,407.0000003,raw,123,14,142
E1,d,rode,2,274,440.9999998,raw,105,31,138
E1,d,rode,3,273,365.9999997,raw,84,50,139
E1,d,sad,1,266,428.0000001,raw,44,27,195
E1,d,sad,2,411,636.9999999,raw,143,22,246
E1,d,sad,3,341,596.9999997,raw,88,33,220
E1,d,said,1,239,388.9999999,raw,55,25,159
E1,d,said,2,285,506.9999996,raw,110,22,153
E1,t,shout,1,260,451,raw,25,79,156
E1,t,shout,2,348,600.9999998,raw,111,86,151
E1,t,shout,3,318,569.9999998,raw,111,63,144
E1,t,silt,1,312,478.9999998,raw,113,106,93
E1,t,silt,2,349,579.999999,raw,178,65,106
