word,set,vowel,closure,burst,sound,Speaker,phon_ctxt_stress,phon_pre_nasal,phon_post_nasal,syllable
lad,1,0.244,0.076,0.102,d,E14,yes,no,yes,1
lad,2,0.231,0.095,0.095,d,E14,yes,no,yes,1
lad,3,0.275,0.102,0.078,d,E14,yes,no,yes,1
late,1,0.125,0.096,0.196,t,E14,yes,no,yes,1
late,2,0.14,0.108,0.14,t,E14,yes,no,yes,1
late,3,0.163,0.125,0.125,t,E14,yes,no,yes,1
neat,1,0.135,0.16,0.048,t,E14,yes,no,yes,1
neat,2,0.132,0.141,0.048,t,E14,yes,no,yes,1
neat,3,0.148,0.135,0.246,t,E14,yes,no,yes,1
need,1,0.217,0.091,0.222,d,E14,yes,no,yes,1
need,2,0.263,0.074,0.128,d,E14,yes,no,yes,1
need,3,0.277,0.062,0.095,d,E14,yes,no,yes,1
night,1,0.132,0.126,0.181,t,E14,yes,no,yes,1
night,2,0.119,0.162,0.121,t,E14,yes,no,yes,1
night,3,0.183,0.127,0.138,t,E14,yes,no,yes,1
not,1,0.193,0.152,0.142,t,E14,yes,no,yes,1
not,2,0.218,0.128,0.129,t,E14,yes,no,yes,1
not,3,0.205,0.133,0.084,t,E14,yes,no,yes,1
ride,1,0.308,0.064,0.14,d,E14,yes,no,yes,1
ride,2,0.3,0.067,0.146,d,E14,yes,no,yes,1
ride,3,0.274,0.071,0.136,d,E14,yes,no,yes,1
rod,1,0.271,0.092,0.1,d,E14,yes,no,yes,1
rod,2,0.243,0.077,0.105,d,E14,yes,no,yes,1
rod,3,0.246,0.081,0.074,d,E14,yes,no,yes,1
rode,1,0.23,0.069,0.113,d,E14,yes,no,yes,1
rode,2,0.25,0.04,0.156,d,E14,yes,no,yes,1
rode,3,0.226,0.056,0.134,d,E14,yes,no,yes,1
find,1,0.392,0.027,0.09,d,E14,yes,yes,no,1
find,2,0.265,0.174,0.1,d,E14,yes,yes,no,1
find,3,0.288,0.142,0.122,d,E14,yes,yes,no,1
fond,1,0.344,0.048,0.128,d,E14,yes,yes,no,1
fond,2,0.344,0.041,0.095,d,E14,yes,yes,no,1
fond,3,0.37,0.032,0.091,d,E14,yes,yes,no,1
gild,1,0.279,0.035,0.263,d,E14,yes,yes,no,1
gild,2,0.134,0.08,0.227,d,E14,yes,yes,no,1
gild,3,0.259,0.046,0.15,d,E14,yes,yes,no,1
killed,1,0.259,0.03,0.185,d,E14,yes,yes,no,1
killed,2,0.287,0.028,0.112,d,E14,yes,yes,no,1
killed,3,0.2,0.098,0.067,d,E14,yes,yes,no,1
pond,1,0.373,0.006,0.143,d,E14,yes,yes,no,1
pond,2,0.395,0.04,0.101,d,E14,yes,yes,no,1
pond,3,0.334,0.092,0.076,d,E14,yes,yes,no,1
pound,1,0.334,0.061,0.068,d,E14,yes,yes,no,1
