Subject,Session,Sound,Spelling1.ACC,Spelling1.RT,Word,Block,Group,participant
10,1,t,1,1154,wet,1,control,110
10,1,t,1,1205,fat,1,control,110
10,1,t,0,1512,white,1,control,110
10,1,d,1,1548,fade,1,control,110
10,1,d,1,1260,feed,1,control,110
10,1,d,0,1777,heed,1,control,110
10,1,d,0,1405,plead,1,control,110
10,1,t,0,1465,seat,1,control,110
10,1,t,1,1054,hit,1,control,110
10,1,d,1,2389,fried,1,control,110
10,1,d,1,1198,rude,1,control,110
10,1,t,1,1316,cute,1,control,110
10,1,d,0,1639,aid,1,control,110
10,1,d,0,914,herd,1,control,110
10,1,d,1,1079,mood,1,control,110
10,1,d,0,1351,mound,1,control,110
10,1,d,0,1514,cod,1,control,110
10,1,t,0,1326,wrote,1,control,110
10,1,d,1,1352,mud,1,control,110
10,1,t,0,1527,mat,1,control,110
10,1,t,1,1373,sweet,1,control,110
10,1,d,1,1231,led,1,control,110
10,1,d,1,1267,rod,1,control,110
10,1,t,0,1166,set,1,control,110
10,1,t,0,1094,height,1,control,110
10,1,t,0,1262,knot,1,control,110
10,1,d,1,1197,mode,1,control,110
10,1,d,1,1245,pod,1,control,110
10,1,t,0,1127,right,1,control,110
10,1,d,1,1168,node,1,control,110
10,1,d,1,875,card,1,control,110
10,1,t,0,1230,chart,1,control,110
10,1,t,1,1187,skit,1,control,110
10,1,t,1,1624,coat,1,control,110
10,1,t,1,1488,cent,1,control,110
10,1,t,0,1784,court,1,control,110
10,1,t,1,1247,wheat,1,control,110
10,1,t,1,1555,fort,1,control,110
10,1,d,1,1131,mead,1,control,110
10,1,d,0,1411,laid,1,control,110
10,1,d,0,1019,need,1,control,110
10,1,t,1,1841,spate,1,control,110
10,1,d,1,997,hard,1,control,110
10,1,t,0,941,colt,1,control,110
10,1,t,1,1280,font,1,control,110
10,1,t,1,1013,wait,1,control,110
10,1,d,0,1117,raid,1,control,110
10,1,t,1,1407,plate,1,control,110
10,1,d,0,985,made,1,control,110
10,1,t,0,1078,oat,1,control,110
10,1,d,1,1310,slid,1,control,110
10,1,t,0,1347,slight,1,control,110
10,1,t,0,1231,plot,1,control,110
10,1,t,1,1037,pat,1,control,110
10,1,d,1,1391,side,1,control,110
10,1,d,0,1188,mend,1,control,110
10,1,d,0,1026,kid,1,control,110
10,1,t,1,1423,sat,1,control,110
10,1,d,1,1212,had,1,control,110
10,1,d,1,874,dead,1,control,110
10,1,d,0,910,wade,2,control,110
10,1,t,0,1091,late,2,control,110
10,1,d,1,1050,played,2,control,110
10,1,t,0,1075,debt,2,control,110
10,1,t,1,1021,let,2,control,110
10,1,t,1,1093,meant,2,control,110
10,1,d,0,917,owed,2,control,110
10,1,d,1,993,said,2,control,110
10,1,t,1,966,neat,2,control,110
10,1,t,1,1484,note,2,control,110
10,1,t,1,1101,cot,2,control,110
10,1,d,1,1449,hid,2,control,110
10,1,d,1,1194,mad,2,control,110
10,1,d,0,1179,fad,2,control,110
10,1,t,1,1127,cart,2,control,110
10,1,d,1,1098,ride,2,control,110
10,1,t,1,1183,moot,2,control,110
10,1,t,1,1045,rate,2,control,110
10,1,d,0,1274,code,2,control,110
10,1,t,1,982,mutt,2,control,110
10,1,t,1,1184,heat,2,control,110
10,1,d,1,1201,spade,2,control,110
10,1,d,1,1086,hide,2,control,110
10,1,t,1,939,mount,2,control,110
10,1,t,1,1200,fate,2,control,110
10,1,t,1,958,hat,2,control,110
10,1,d,1,1097,weed,2,control,110
10,1,d,1,1442,charred,2,control,110
10,1,d,0,929,pad,2,control,110
10,1,t,0,1860,slit,2,control,110
10,1,t,1,1102,mate,2,control,110
10,1,d,0,965,cued,2,control,110
10,1,t,0,1306,moat,2,control,110
10,1,t,0,1354,feet,2,control,110
10,1,d,0,394,Swede,2,control,110
10,1,t,0,1378,heart,2,control,110
10,1,d,0,9972,wed,2,control,110
10,1,d,1,1073,slide,2,control,110
10,1,t,1,1326,eight,2,control,110
10,1,t,1,1120,pleat,2,control,110
10,1,d,1,1121,cold,2,control,110
10,1,t,1,1060,hurt,2,control,110
10,1,d,1,1587,wide,2,control,110
10,1,d,1,1016,nod,2,control,110
10,1,d,0,1420,ford,2,control,110
10,1,d,0,1202,plod,2,control,110
10,1,t,0,951,rot,2,control,110
10,1,d,1,1145,sad,2,control,110
10,1,d,1,1220,cord,2,control,110
10,1,d,1,1506,skid,2,control,110
10,1,t,0,1035,kit,2,control,110
10,1,t,1,837,pot,2,control,110
10,1,t,0,1077,sight,2,control,110
10,1,t,0,1118,root,2,control,110
10,1,t,0,941,meat,2,control,110
10,1,d,1,1018,road,2,control,110
10,1,d,1,1226,fond,2,control,110
10,1,t,0,1846,fright,2,control,110
10,1,d,1,1181,send,2,control,110
10,1,d,1,1256,seed,2,control,110
12,2,d,0,1325,wed,1,control,212
12,2,d,0,1645,code,1,control,212
12,2,d,0,1194,cued,1,control,212
12,2,d,0,1430,hid,1,control,212
12,2,d,0,1345,plod,1,control,212
12,2,t,0,1639,heart,1,control,212
12,2,d,0,1619,wade,1,control,212
12,2,d,0,1354,ride,1,control,212
12,2,d,0,1368,pad,1,control,212
12,2,t,0,1499,slit,1,control,212
12,2,d,0,1941,seed,1,control,212
12,2,t,0,1833,feet,1,control,212
12,2,d,0,2470,ford,1,control,212
12,2,t,0,1517,cart,1,control,212
12,2,t,1,2992,moat,1,control,212
12,2,t,1,1278,hat,1,control,212
12,2,t,1,1706,meat,1,control,212
12,2,d,1,1724,road,1,control,212
12,2,t,1,1309,rate,1,control,212
12,2,t,1,1412,cot,1,control,212
12,2,t,1,1279,let,1,control,212
12,2,t,1,1618,meant,1,control,212
12,2,t,1,1203,pot,1,control,212
12,2,t,1,1450,late,1,control,212
12,2,d,1,1130,cold,1,control,212
12,2,t,1,1710,rot,1,control,212
12,2,t,1,1410,hurt,1,control,212
12,2,d,1,1263,hide,1,control,212
12,2,t,1,1175,fate,1,control,212
12,2,t,1,1570,mount,1,control,212
12,2,t,1,1297,fright,1,control,212
12,2,d,1,1817,skid,1,control,212
12,2,d,1,1621,spade,1,control,212
12,2,d,1,1560,nod,1,control,212
12,2,d,1,1337,weed,1,control,212
12,2,t,1,1540,heat,1,control,212
12,2,d,1,1963,Swede,1,control,212
12,2,d,1,1524,send,1,control,212
12,2,t,1,1222,note,1,control,212
12,2,t,1,1851,eight,1,control,212
12,2,d,1,1535,said,1,control,212
12,2,d,1,1455,mad,1,control,212
12,2,t,1,1451,mutt,1,control,212
12,2,t,1,1468,pleat,1,control,212
12,2,d,1,1442,played,1,control,212
12,2,t,1,1649,kit,1,control,212
12,2,t,1,1528,moot,1,control,212
12,2,d,1,1516,slide,1,control,212
12,2,t,1,1949,mate,1,control,212
12,2,d,1,1853,cord,1,control,212
12,2,t,1,1605,sight,1,control,212
12,2,t,1,1900,debt,1,control,212
12,2,d,1,1547,sad,1,control,212
12,2,d,1,1863,fad,1,control,212
12,2,d,1,1602,fond,1,control,212
12,2,d,1,1460,wide,1,control,212
12,2,d,1,1600,charred,1,control,212
12,2,t,1,1943,neat,1,control,212
12,2,d,1,2412,owed,1,control,212
12,2,t,1,1446,root,1,control,212
12,2,t,0,1680,white,2,control,212
12,2,d,1,1302,hard,2,control,212
12,2,d,1,1470,side,2,control,212
12,2,d,0,1465,aid,2,control,212
12,2,d,0,1266,pod,2,control,212
12,2,t,1,1371,knot,2,control,212
12,2,t,1,1212,hit,2,control,212
12,2,t,1,1872,spate,2,control,212
12,2,d,1,1188,slid,2,control,212
12,2,d,1,1388,plead,2,control,212
12,2,d,0,1251,made,2,control,212
12,2,d,0,1140,mud,2,control,212
12,2,d,1,1275,rude,2,control,212
12,2,t,1,1220,pat,2,control,212
12,2,t,1,1439,seat,2,control,212
12,2,t,1,1326,right,2,control,212
12,2,d,0,1353,mend,2,control,212
12,2,t,1,1761,colt,2,control,212
12,2,d,0,1133,laid,2,control,212
12,2,d,0,1291,raid,2,control,212
12,2,d,0,1021,had,2,control,212
12,2,t,1,1005,cute,2,control,212
12,2,d,0,2372,heed,2,control,212
12,2,t,1,1301,plate,2,control,212
12,2,d,0,1449,fade,2,control,212
12,2,t,1,1324,wait,2,control,212
12,2,t,0,2184,fort,2,control,212
12,2,d,1,1111,dead,2,control,212
12,2,d,0,1290,fried,2,control,212
12,2,t,0,2615,set,2,control,212
12,2,t,1,2356,oat,2,control,212
12,2,t,0,3939,slight,2,control,212
12,2,t,1,1862,cent,2,control,212
12,2,d,0,1644,herd,2,control,212
12,2,t,0,2153,sat,2,control,212
12,2,t,1,2532,font,2,control,212
12,2,t,1,2128,sweet,2,control,212
12,2,t,1,2495,coat,2,control,212
12,2,d,1,1933,mode,2,control,212
12,2,t,1,3161,court,2,control,212
12,2,t,0,1499,height,2,control,212
12,2,t,1,1815,chart,2,control,212
12,2,d,0,2198,mound,2,control,212
12,2,t,0,2519,skit,2,control,212
12,2,d,0,1500,feed,2,control,212
12,2,d,1,1434,kid,2,control,212
12,2,d,1,1296,mood,2,control,212
12,2,t,0,1367,mat,2,control,212
12,2,d,1,1223,card,2,control,212
12,2,t,1,1174,wet,2,control,212
12,2,d,0,1777,need,2,control,212
12,2,t,1,1603,fat,2,control,212
12,2,t,1,1959,wrote,2,control,212
12,2,d,0,1232,mead,2,control,212
12,2,t,1,1502,plot,2,control,212
12,2,d,0,1237,led,2,control,212
12,2,d,0,1862,node,2,control,212
12,2,d,1,1682,rod,2,control,212
12,2,d,1,1282,cod,2,control,212
12,2,t,1,1481,wheat,2,control,212
13,2,d,0,791,fad,1,control,213
13,2,t,0,792,fate,1,control,213
13,2,t,0,1092,slit,1,control,213
13,2,t,0,952,kit,1,control,213
13,2,d,0,747,wade,1,control,213
13,2,d,0,723,mad,1,control,213
13,2,d,0,1409,spade,1,control,213
13,2,d,0,788,code,1,control,213
13,2,d,0,982,plod,1,control,213
13,2,d,0,771,sad,1,control,213
13,2,d,0,1109,played,1,control,213
13,2,d,0,1312,seed,1,control,213
13,2,t,0,1088,heat,1,control,213
13,2,t,0,752,note,1,control,213
13,2,t,0,1324,feet,1,control,213
13,2,t,0,1192,late,1,control,213
13,2,t,0,1125,mutt,1,control,213
13,2,d,0,1296,road,1,control,213
13,2,t,0,1249,moat,1,control,213
13,2,t,0,967,debt,1,control,213
13,2,d,1,1687,skid,1,control,213
13,2,d,1,1062,hid,1,control,213
13,2,d,1,945,send,1,control,213
13,2,t,1,922,neat,1,control,213
