Speaker,Sound,Word,set,burst,closure,vowel,phon_ctxt_stress,phon_pre_nasal,phon_post_nasal,syllable,Item.Word
E1,/d/,bad,1,0.058,0.038,0.259,yes,no,no,1,bad
E1,/d/,bad,2,0.161,0.039,0.266,yes,no,no,1,bad
E1,/d/,bad,3,0.124,0.039,0.241,yes,no,no,1,bad
E1,/d/,bed,1,0.071,0.017,0.18,yes,no,no,1,bed
E1,/d/,bed,2,0.186,0.009,0.171,yes,no,no,1,bed
E1,/d/,bed,3,0.164,0.024,0.181,yes,no,no,1,bed
E1,/d/,bud,1,0.042,0.03,0.153,yes,no,no,1,bud
E1,/d/,bud,2,0.115,0.02,0.204,yes,no,no,1,bud
E1,/d/,bud,3,0.137,0.028,0.15,yes,no,no,1,bud
E1,/t/,but,1,0.13,0.082,0.116,yes,no,no,1,but
E1,/t/,but,2,0.107,0.084,0.134,yes,no,no,1,but
E1,/t/,but,3,0.126,0.091,0.134,yes,no,no,1,but
E1,/d/,cooed,1,0.082,0.028,0.175,yes,no,no,1,cooed
E1,/d/,cooed,2,0.152,0.026,0.2,yes,no,no,1,cooed
E1,/d/,cooed,3,0.073,0.033,0.182,yes,no,no,1,cooed
E1,/t/,cut,1,0.127,0.11,0.111,yes,no,no,1,cut
E1,/t/,cut,2,0.176,0.082,0.118,yes,no,no,1,cut
E1,/t/,cut,3,0.118,0.085,0.116,yes,no,no,1,cut
E1,/d/,feed,1,0.104,0.03,0.184,yes,no,no,1,feed
E1,/d/,feed,2,0.102,0.019,0.184,yes,no,no,1,feed
E1,/d/,feed,3,0.114,0.017,0.194,yes,no,no,1,feed
E1,/t/,feet,1,0.125,0.081,0.134,yes,no,no,1,feet
E1,/t/,feet,2,0.101,0.071,0.143,yes,no,no,1,feet
E1,/t/,feet,3,0.108,0.073,0.126,yes,no,no,1,feet
E1,/d/,find,1,0.054,0.026,0.266,yes,yes,no,1,find
E1,/d/,find,2,0.152,0.049,0.265,yes,yes,no,1,find
E1,/d/,find,3,0.068,0.014,0.244,yes,yes,no,1,find
E1,/d/,fond,1,0.073,0.021,0.239,yes,yes,no,1,fond
E1,/d/,fond,2,0.128,0.03,0.294,yes,yes,no,1,fond
E1,/d/,fond,3,0.111,0.022,0.255,yes,yes,no,1,fond
E1,/d/,gild,1,0.152,0.07,0.207,yes,yes,no,1,gild
E1,/d/,gild,2,0.119,0.062,0.207,yes,yes,no,1,gild
E1,/d/,gild,3,0.133,0.067,0.193,yes,yes,no,1,gild
E1,/d/,god,1,0.107,0.005,0.22,yes,no,no,1,god
E1,/d/,god,2,0.126,0.02,0.197,yes,no,no,1,god
E1,/d/,god,3,0.123,0.017,0.193,yes,no,no,1,god
E1,/d/,good,1,0.104,0.038,0.148,yes,no,no,1,good
E1,/d/,good,2,0.131,0.038,0.154,yes,no,no,1,good
E1,/d/,good,3,0.146,0.022,0.154,yes,no,no,1,good
E1,/t/,got,1,0.084,0.088,0.144,yes,no,no,1,got
E1,/t/,got,2,0.094,0.096,0.153,yes,no,no,1,got
E1,/t/,got,3,0.143,0.114,0.149,yes,no,no,1,got
E1,/d/,killed,1,0.069,0.052,0.176,yes,yes,no,1,killed
E1,/d/,killed,2,0.167,0.056,0.176,yes,yes,no,1,killed
E1,/d/,killed,3,0.137,0.035,0.206,yes,yes,no,1,killed
E1,/d/,lad,1,0.078,0.024,0.182,yes,no,yes,1,lad
E1,/d/,lad,2,0.169,0.014,0.126,yes,no,yes,1,lad
E1,/d/,lad,3,0.079,0.094,0.137,yes,no,yes,1,lad
E1,/t/,late,1,0.146,0.078,0.081,yes,no,yes,1,late
E1,/t/,neat,1,0.163,0.068,0.131,yes,no,yes,1,neat
E1,/t/,neat,2,0.154,0.088,0.152,yes,no,yes,1,neat
E1,/d/,need,1,0.053,0.043,0.179,yes,no,yes,1,need
E1,/d/,need,2,0.097,0.05,0.193,yes,no,yes,1,need
E1,/d/,need,3,0.097,0.027,0.19,yes,no,yes,1,need
E1,/t/,night,1,0.17,0.076,0.112,yes,no,yes,1,night
E1,/t/,night,2,0.161,0.078,0.145,yes,no,yes,1,night
E1,/t/,night,3,0.13,0.104,0.148,yes,no,yes,1,night
E1,/t/,not,1,0.098,0.146,0.092,yes,no,yes,1,not
E1,/t/,not,2,0.108,0.15,0.104,yes,no,yes,1,not
E1,/t/,not,3,0.126,0.152,0.156,yes,no,yes,1,not
E1,/t/,pat,1,0.023,0.078,0.129,yes,no,no,1,pat
E1,/t/,pat,2,0.136,0.121,0.133,yes,no,no,1,pat
E1,/t/,pat,3,0.113,0.105,0.125,yes,no,no,1,pat
E1,/t/,pet,1,0.115,0.053,0.124,yes,no,no,1,pet
E1,/t/,pet,2,0.116,0.124,0.123,yes,no,no,1,pet
E1,/t/,pet,3,0.101,0.104,0.131,yes,no,no,1,pet
E1,/d/,pond,1,0.042,0.02,0.217,yes,yes,no,1,pond
E1,/d/,pond,2,0.093,0.016,0.241,yes,yes,no,1,pond
E1,/d/,pond,3,0.116,0.017,0.236,yes,yes,no,1,pond
E1,/t/,pot,1,0.106,0.115,0.13,yes,no,no,1,pot
E1,/t/,pot,2,0.131,0.099,0.146,yes,no,no,1,pot
E1,/t/,pot,3,0.128,0.105,0.144,yes,no,no,1,pot
E1,/d/,pound,1,0.073,0.043,0.24,yes,yes,no,1,pound
E1,/d/,pound,2,0.091,0.038,0.248,yes,yes,no,1,pound
E1,/d/,pound,3,0.087,0.018,0.196,yes,yes,no,1,pound
E1,/t/,pout,1,0.135,0.077,0.133,yes,no,no,1,pout
E1,/t/,pout,2,0.138,0.075,0.111,yes,no,no,1,pout
E1,/t/,pout,3,0.123,0.081,0.131,yes,no,no,1,pout
E1,/t/,put,1,0.104,0.111,0.095,yes,no,no,1,put
E1,/t/,put,2,0.101,0.119,0.082,yes,no,no,1,put
E1,/t/,put,3,0.121,0.098,0.099,yes,no,no,1,put
E1,/d/,ride,1,0.043,0.025,0.164,yes,no,yes,1,ride
