word,sound,block,phon_ctxt_stress,phon_pre_nasal,phon_post_nasal,phon_post_fricative,syllable,word_duration,rhyme,cues,burst,closure,vowel
aid,d,test,yes,no,no,no,1,485,372,proportional,0.158762887,0.162886598,0.445360825
aid,d,test,yes,no,no,no,1,485,372,proportional_rhyme,0.206989247,0.212365591,0.580645161
aid,d,test,yes,no,no,no,1,485,372,raw,77,79,216
alongside,d,exposure,yes,no,no,no,3,898,318,proportional,0.066815145,0.059020045,0.228285078
alongside,d,exposure,yes,no,no,no,3,898,318,proportional_rhyme,0.188679245,0.166666667,0.644654088
alongside,d,exposure,yes,no,no,no,3,898,318,raw,60,53,205
apprehend,d,exposure,yes,no,yes,no,3,879,350,proportional,0.091012514,0.130830489,0.176336746
apprehend,d,exposure,yes,no,yes,no,3,879,350,proportional_rhyme,0.228571429,0.328571429,0.442857143
apprehend,d,exposure,yes,no,yes,no,3,879,350,raw,80,115,155
card,d,test,yes,no,no,no,1,497,345,proportional,0.136820926,0.102615694,0.45472837
card,d,test,yes,no,no,no,1,497,345,proportional_rhyme,0.197101449,0.147826087,0.655072464
card,d,test,yes,no,no,no,1,497,345,raw,68,51,226
cart,t,test,yes,no,no,no,1,571,385,proportional,0.255691769,0.089316988,0.329246935
cart,t,test,yes,no,no,no,1,571,385,proportional_rhyme,0.379220779,0.132467532,0.488311688
cart,t,test,yes,no,no,no,1,571,385,raw,146,51,188
cent,t,test,yes,no,yes,no,1,627,374,proportional,0.141945774,0.079744817,0.374800638
cent,t,test,yes,no,yes,no,1,627,374,proportional_rhyme,0.237967914,0.13368984,0.628342246
cent,t,test,yes,no,yes,no,1,627,374,raw,89,50,235
charred,d,test,yes,no,no,no,1,569,324,proportional,0.124780316,0.091388401,0.353251318
charred,d,test,yes,no,no,no,1,569,324,proportional_rhyme,0.219135802,0.160493827,0.62037037
charred,d,test,yes,no,no,no,1,569,324,raw,71,52,201
chart,t,test,yes,no,no,no,1,606,390,proportional,0.165016502,0.070957096,0.407590759
chart,t,test,yes,no,no,no,1,606,390,proportional_rhyme,0.256410256,0.11025641,0.633333333
chart,t,test,yes,no,no,no,1,606,390,raw,100,43,247
coat,t,test,yes,no,no,no,1,647,400,proportional,0.202472952,0.081916538,0.333848532
coat,t,test,yes,no,no,no,1,647,400,proportional_rhyme,0.3275,0.1325,0.54
coat,t,test,yes,no,no,no,1,647,400,raw,131,53,216
cod,d,test,yes,no,no,no,1,404,302,proportional,0.163366337,0.193069307,0.391089109
cod,d,test,yes,no,no,no,1,404,302,proportional_rhyme,0.218543046,0.258278146,0.523178808
cod,d,test,yes,no,no,no,1,404,302,raw,66,78,158
code,d,test,yes,no,no,no,1,449,310,proportional,0.151447661,0.144766147,0.394209354
code,d,test,yes,no,no,no,1,449,310,proportional_rhyme,0.219354839,0.209677419,0.570967742
code,d,test,yes,no,no,no,1,449,310,raw,68,65,177
coincide,d,exposure,yes,no,no,no,3,813,325,proportional,0.119311193,0.024600246,0.255842558
coincide,d,exposure,yes,no,no,no,3,813,325,proportional_rhyme,0.298461538,0.061538462,0.64
coincide,d,exposure,yes,no,no,no,3,813,325,raw,97,20,208
cold,d,test,yes,no,yes,no,1,476,351,proportional,0.172268908,0.102941176,0.462184874
cold,d,test,yes,no,yes,no,1,476,351,proportional_rhyme,0.233618234,0.13960114,0.626780627
cold,d,test,yes,no,yes,no,1,476,351,raw,82,49,220
colt,t,test,yes,no,yes,no,1,708,429,proportional,0.173728814,0.105932203,0.326271186
colt,t,test,yes,no,yes,no,1,708,429,proportional_rhyme,0.286713287,0.174825175,0.538461538
colt,t,test,yes,no,yes,no,1,708,429,raw,123,75,231
command,d,exposure,yes,yes,yes,no,2,617,391,proportional,0.128038898,0.19286872,0.31280389
command,d,exposure,yes,yes,yes,no,2,617,391,proportional_rhyme,0.202046036,0.304347826,0.493606138
command,d,exposure,yes,yes,yes,no,2,617,391,raw,79,119,193
comprehend,d,exposure,yes,no,yes,no,3,810,335,proportional,0.103703704,0.12345679,0.186419753
comprehend,d,exposure,yes,no,yes,no,3,810,335,proportional_rhyme,0.250746269,0.298507463,0.450746269
comprehend,d,exposure,yes,no,yes,no,3,810,335,raw,84,100,151
concerned,d,exposure,yes,no,yes,no,2,706,340,proportional,0.113314448,0.084985836,0.283286119
concerned,d,exposure,yes,no,yes,no,2,706,340,proportional_rhyme,0.235294118,0.176470588,0.588235294
concerned,d,exposure,yes,no,yes,no,2,706,340,raw,80,60,200
cord,d,test,yes,no,no,no,1,488,321,proportional,0.116803279,0.094262295,0.446721311
cord,d,test,yes,no,no,no,1,488,321,proportional_rhyme,0.177570093,0.143302181,0.679127726
cord,d,test,yes,no,no,no,1,488,321,raw,57,46,218
correspond,d,exposure,yes,no,yes,no,3,852,330,proportional,0.0657277,0.072769953,0.248826291
correspond,d,exposure,yes,no,yes,no,3,852,330,proportional_rhyme,0.16969697,0.187878788,0.642424242
correspond,d,exposure,yes,no,yes,no,3,852,330,raw,56,62,212
cot,t,test,yes,no,no,no,1,523,359,proportional,0.208413002,0.116634799,0.361376673
cot,t,test,yes,no,no,no,1,523,359,proportional_rhyme,0.30362117,0.169916435,0.526462396
cot,t,test,yes,no,no,no,1,523,359,raw,109,61,189
court,t,test,yes,no,no,no,1,542,404,proportional,0.3099631,0.064575646,0.370848708
court,t,test,yes,no,no,no,1,542,404,proportional_rhyme,0.415841584,0.086633663,0.497524752
court,t,test,yes,no,no,no,1,542,404,raw,168,35,201
cued,d,test,yes,no,no,no,1,452,295,proportional,0.14380531,0.148230088,0.360619469
cued,d,test,yes,no,no,no,1,452,295,proportional_rhyme,0.220338983,0.227118644,0.552542373
cued,d,test,yes,no,no,no,1,452,295,raw,65,67,163
cute,t,test,yes,no,no,no,1,533,335,proportional,0.213883677,0.073170732,0.341463415
cute,t,test,yes,no,no,no,1,533,335,proportional_rhyme,0.340298507,0.11641791,0.543283582
cute,t,test,yes,no,no,no,1,533,335,raw,114,39,182
dead,d,test,yes,no,no,no,1,359,327,proportional,0.189415042,0.194986072,0.526462396
dead,d,test,yes,no,no,no,1,359,327,proportional_rhyme,0.20795107,0.214067278,0.577981651
dead,d,test,yes,no,no,no,1,359,327,raw,68,70,189
debt,t,test,yes,no,no,no,1,500,426,proportional,0.32,0.148,0.384
debt,t,test,yes,no,no,no,1,500,426,proportional_rhyme,0.375586854,0.17370892,0.450704225
debt,t,test,yes,no,no,no,1,500,426,raw,160,74,192
eight,t,test,yes,no,no,no,1,519,443,proportional,0.275529865,0.131021195,0.447013487
eight,t,test,yes,no,no,no,1,519,443,proportional_rhyme,0.322799097,0.153498871,0.523702032
eight,t,test,yes,no,no,no,1,519,443,raw,143,68,232
emerald,d,exposure,no,yes,yes,no,3,638,288,proportional,0.098746082,0.086206897,0.26645768
emerald,d,exposure,no,yes,yes,no,3,638,288,proportional_rhyme,0.21875,0.190972222,0.590277778
emerald,d,exposure,no,yes,yes,no,3,638,288,raw,63,55,170
episode,d,exposure,yes,no,no,no,3,724,265,proportional,0.113259669,0.037292818,0.215469613
episode,d,exposure,yes,no,no,no,3,724,265,proportional_rhyme,0.309433962,0.101886792,0.588679245
episode,d,exposure,yes,no,no,no,3,724,265,raw,82,27,156
fad,d,test,yes,no,no,no,1,550,321,proportional,0.130909091,0.081818182,0.370909091
fad,d,test,yes,no,no,no,1,550,321,proportional_rhyme,0.224299065,0.140186916,0.635514019
fad,d,test,yes,no,no,no,1,550,321,raw,72,45,204
fade,d,test,yes,no,no,no,1,516,304,proportional,0.091085271,0.13372093,0.364341085
fade,d,test,yes,no,no,no,1,516,304,proportional_rhyme,0.154605263,0.226973684,0.618421053
fade,d,test,yes,no,no,no,1,516,304,raw,47,69,188
fat,t,test,yes,no,no,no,1,646,429,proportional,0.216718266,0.075851393,0.371517028
fat,t,test,yes,no,no,no,1,646,429,proportional_rhyme,0.326340326,0.114219114,0.559440559
fat,t,test,yes,no,no,no,1,646,429,raw,140,49,240
fate,t,test,yes,no,no,no,1,617,345,proportional,0.197730956,0.084278768,0.277147488
fate,t,test,yes,no,no,no,1,617,345,proportional_rhyme,0.353623188,0.150724638,0.495652174
fate,t,test,yes,no,no,no,1,617,345,raw,122,52,171
feed,d,test,yes,no,no,no,1,558,271,proportional,0.109318996,0.098566308,0.277777778
feed,d,test,yes,no,no,no,1,558,271,proportional_rhyme,0.225092251,0.20295203,0.57195572
feed,d,test,yes,no,no,no,1,558,271,raw,61,55,155
feet,t,test,yes,no,no,no,1,690,357,proportional,0.175362319,0.066666667,0.275362319
feet,t,test,yes,no,no,no,1,690,357,proportional_rhyme,0.338935574,0.128851541,0.532212885
feet,t,test,yes,no,no,no,1,690,357,raw,121,46,190
fond,d,test,yes,no,yes,no,1,568,364,proportional,0.107394366,0.070422535,0.463028169
fond,d,test,yes,no,yes,no,1,568,364,proportional_rhyme,0.167582418,0.10989011,0.722527473
fond,d,test,yes,no,yes,no,1,568,364,raw,61,40,263
font,t,test,yes,no,yes,no,1,612,362,proportional,0.132352941,0.145424837,0.31372549
font,t,test,yes,no,yes,no,1,612,362,proportional_rhyme,0.223756906,0.245856354,0.53038674
font,t,test,yes,no,yes,no,1,612,362,raw,81,89,192
ford,d,test,yes,no,no,no,1,612,359,proportional,0.125816993,0.08496732,0.375816993
ford,d,test,yes,no,no,no,1,612,359,proportional_rhyme,0.21448468,0.144846797,0.640668524
ford,d,test,yes,no,no,no,1,612,359,raw,77,52,230
fort,t,test,yes,no,no,no,1,700,394,proportional,0.132857143,0.148571429,0.281428571
fort,t,test,yes,no,no,no,1,700,394,proportional_rhyme,0.236040609,0.263959391,0.5
fort,t,test,yes,no,no,no,1,700,394,raw,93,104,197
fried,d,test,yes,no,no,no,1,643,267,proportional,0.085536547,0.115085537,0.214618974
fried,d,test,yes,no,no,no,1,643,267,proportional_rhyme,0.205992509,0.277153558,0.516853933
fried,d,test,yes,no,no,no,1,643,267,raw,55,74,138
fright,t,test,yes,no,no,no,1,724,377,proportional,0.172651934,0.106353591,0.241712707
fright,t,test,yes,no,no,no,1,724,377,proportional_rhyme,0.331564987,0.204244032,0.464190981
fright,t,test,yes,no,no,no,1,724,377,raw,125,77,175
had,d,test,yes,no,no,no,1,499,317,proportional,0.136272545,0.162324649,0.336673347
had,d,test,yes,no,no,no,1,499,317,proportional_rhyme,0.214511041,0.255520505,0.529968454
had,d,test,yes,no,no,no,1,499,317,raw,68,81,168
haphazard,d,exposure,no,no,no,no,3,868,259,proportional,0.051843318,0.035714286,0.210829493
haphazard,d,exposure,no,no,no,no,3,868,259,proportional_rhyme,0.173745174,0.11969112,0.706563707
haphazard,d,exposure,no,no,no,no,3,868,259,raw,45,31,183
hard,d,test,yes,no,no,no,1,575,353,proportional,0.097391304,0.057391304,0.459130435
hard,d,test,yes,no,no,no,1,575,353,proportional_rhyme,0.158640227,0.093484419,0.747875354
hard,d,test,yes,no,no,no,1,575,353,raw,56,33,264
hat,t,test,yes,no,no,no,1,591,410,proportional,0.252115059,0.116751269,0.324873096
hat,t,test,yes,no,no,no,1,591,410,proportional_rhyme,0.363414634,0.168292683,0.468292683
hat,t,test,yes,no,no,no,1,591,410,raw,149,69,192
heart,t,test,yes,no,no,no,1,545,399,proportional,0.194495413,0.08440367,0.453211009
heart,t,test,yes,no,no,no,1,545,399,proportional_rhyme,0.26566416,0.115288221,0.619047619
heart,t,test,yes,no,no,no,1,545,399,raw,106,46,247
heat,t,test,yes,no,no,no,1,521,339,proportional,0.209213052,0.122840691,0.318618042
heat,t,test,yes,no,no,no,1,521,339,proportional_rhyme,0.321533923,0.18879056,0.489675516
heat,t,test,yes,no,no,no,1,521,339,raw,109,64,166
heed,d,test,yes,no,no,no,1,494,336,proportional,0.139676113,0.16194332,0.37854251
heed,d,test,yes,no,no,no,1,494,336,proportional_rhyme,0.205357143,0.238095238,0.556547619
heed,d,test,yes,no,no,no,1,494,336,raw,69,80,187
height,t,test,yes,no,no,no,1,591,437,proportional,0.223350254,0.128595601,0.387478849
