vowel,closure,burst,language,phon_ctxt_stress,phon_ctxt_canonical_vl,mimic,Block.Type,MinimalPairID,Word,Sound,phon_ctxt_r,phon_ctxt_l,phon_ctxt_n,Item.Filename,syllable,Item.MinimalPair,Item.Word,syllable_duration,num_of_segments
0.115471795,0.082339474,0.076242403,native,yes,short,irrelevant,exposure,NA,oskuld,/d/,no,yes,no,ETW_1_oskuld,2,NA,ETW_1_oskuld,0.427515296,4
0.149258799,0.113726012,0.078723779,native,yes,short,irrelevant,exposure,NA,skillnad,/d/,no,no,no,ETW_2_skillnad,2,NA,ETW_2_skillnad,0.447046776,3
0.259815238,0.103067219,0.059364205,native,yes,long,irrelevant,exposure,NA,choklad,/d/,no,no,no,ETW_3_choklad,2,NA,ETW_3_choklad,0.545813985,3
0.132241053,0.113124868,0.092671875,native,yes,short,irrelevant,exposure,NA,livraadd,/d/,no,no,no,ETW_4_livraadd,2,NA,ETW_4_livraadd,0.406502616,3
0.120584953,0.101503998,0.082191445,native,yes,short,irrelevant,exposure,NA,skepnad,/d/,no,no,no,ETW_5_skepnad,2,NA,ETW_5_skepnad,0.362310406,3
0.231597959,0.099313784,0.064841467,native,yes,long,irrelevant,exposure,NA,vemod,/d/,no,no,no,ETW_6_vemod,2,NA,ETW_6_vemod,0.493935594,3
0.142001159,0.03305688,0.081612342,native,yes,short,irrelevant,exposure,NA,hemland,/d/,no,no,yes,ETW_7_hemland,2,NA,ETW_7_hemland,0.528731398,4
0.123242394,0.040086672,0.057066851,native,yes,short,irrelevant,exposure,NA,samfund,/d/,no,no,yes,ETW_8_samfund,2,NA,ETW_8_samfund,0.519418723,4
0.167931491,0.086491935,0.053808943,native,no,short,irrelevant,exposure,NA,haarmed,/d/,no,no,no,ETW_9_haarmed,2,NA,ETW_9_haarmed,0.387853091,3
0.306500468,0.114843247,0.075435077,native,yes,long,irrelevant,exposure,NA,nomad,/d/,no,no,no,ETW_10_nomad,2,NA,ETW_10_nomad,0.604093399,3
0.25276692,0.055405407,0.081924204,native,yes,long,irrelevant,exposure,NA,period,/d/,no,no,no,ETW_11_period,3,NA,ETW_11_period,0.390096531,2
0.1393598,0.023969951,0.110420787,native,yes,short,irrelevant,exposure,NA,offerlund,/d/,no,no,yes,ETW_12_offerlund,3,NA,ETW_12_offerlund,0.568784898,4
0.138381213,0.01,0.06721037,native,yes,short,irrelevant,exposure,NA,oevervoald,/d/,no,yes,no,ETW_13_oevervoald,3,NA,ETW_13_oevervoald,0.516136365,4
0.277769204,0.103834603,0.08341691,native,yes,long,irrelevant,exposure,NA,myriad,/d/,no,no,no,ETW_14_myriad,3,NA,ETW_14_myriad,0.465020717,2
0.140210875,0.115308117,0.08468277,native,yes,short,irrelevant,exposure,NA,knivsudd,/d/,no,no,no,ETW_15_knivsudd,2,NA,ETW_15_knivsudd,0.483385811,3
