item,item_cond,sound,corr_ans,group,block_id,listname,rating_for,position,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,rating_1.response,rating_1.rt,participant
165,ENW,ENW_75_foarskining_150219.wav,n,c ,NA,,,,n,1,6.069156932,NA,NA,100
86,EFW,EFW_56_mormor_070319.wav,j,c ,NA,,,,j,1,2.118985891,NA,NA,100
154,ENW,ENW_64_havskvare_150219.wav,n,c ,NA,,,,n,1,3.202726849,NA,NA,100
29,ECW,ECW_29_mejerier_070319.wav,j,c ,NA,,,,j,1,1.919091162,NA,NA,100
94,ENW,ENW_4_kyllfaren_150219.wav,n,c ,NA,,,,n,1,4.919501684,NA,NA,100
173,ENW,ENW_83_fyrskovar_150219.wav,n,c ,NA,,,,n,1,4.235685593,NA,NA,100
26,ECW,ECW_26_kroenikoeren_070319.wav,j,c ,NA,,,,j,1,1.552445437,NA,NA,100
123,ENW,ENW_33_froamation_150219.wav,n,c ,NA,,,,n,1,4.250361174,NA,NA,100
37,EFW,EFW_7_sociala_070319.wav,j,c ,NA,,,,j,1,1.919033765,NA,NA,100
131,ENW,ENW_41_vessmaren_150219.wav,n,c ,NA,,,,n,1,4.202594513,NA,NA,100
84,EFW,EFW_54_romaner_070319.wav,j,c ,NA,,,,j,1,1.535825123,NA,NA,100
40,EFW,EFW_10_laarare_070319.wav,j,c ,NA,,,,j,1,1.169717379,NA,NA,100
68,EFW,EFW_38_foerefoell_070319.wav,j,c ,NA,,,,j,1,1.619083631,NA,NA,100
179,ENW,ENW_89_mikenspoan_150219.wav,n,c ,NA,,,,n,1,2.352481461,NA,NA,100
166,ENW,ENW_76_omfläskor_150219.wav,n,c ,NA,,,,n,1,2.252068494,NA,NA,100
180,ENW,ENW_90_skrivinar_150219.wav,n,c ,NA,,,,n,1,1.936045365,NA,NA,100
120,ENW,ENW_30_sojera_150219.wav,n,c ,NA,,,,j,0,2.402507474,NA,NA,100
23,ECW,ECW_23_maximal_070319.wav,j,c ,NA,,,,j,1,1.31882811,NA,NA,100
130,ENW,ENW_40_knipackar_150219.wav,n,c ,NA,,,,n,1,3.353321152,NA,NA,100
53,EFW,EFW_23_aamne_070319.wav,j,c ,NA,,,,j,1,1.26927122,NA,NA,100
18,ECW,ECW_18_morkulla_070319.wav,j,c ,NA,,,,j,1,2.886028755,NA,NA,100
24,ECW,ECW_24_fysiker_070319.wav,j,c ,NA,,,,j,1,1.35285704,NA,NA,100
149,ENW,ENW_59_kyrkmänning_150219.wav,n,c ,NA,,,,n,1,2.269577298,NA,NA,100
111,ENW,ENW_21_tjulning_150219.wav,n,c ,NA,,,,j,0,1.969595903,NA,NA,100
51,EFW,EFW_21_varierar_070319.wav,j,c ,NA,,,,j,1,1.318787443,NA,NA,100
